i,x,z,recall_naive,recall_naive_sc,recall_rerank
238,-191.156,10.7111,0.875,0.875,1
239,-192.068,10.6853,0.75,0.75,1
240,-192.987,10.6633,0.875,0.875,1
241,-193.897,10.6411,0.75,0.75,1
242,-194.804,10.6168,0.75,0.75,1
243,-195.706,10.5859,0.875,0.875,1
244,-196.608,10.5588,0.75,0.75,1
245,-197.51,10.5251,0.875,0.875,1
246,-198.416,10.4957,0.75,0.75,1
247,-199.322,10.4652,0.75,0.75,1
248,-200.235,10.4375,0.75,0.75,1
249,-201.153,10.412,0.625,0.625,1
250,-202.08,10.3882,0.625,0.625,1
251,-203.014,10.3642,0.625,0.625,1
252,-203.947,10.3415,0.5,0.5,1
253,-204.886,10.331,0.5,0.5,1
254,-205.836,10.3119,0.5,0.5,1
255,-206.802,10.2983,0.375,0.375,1
256,-207.765,10.2825,0.5,0.5,1
257,-208.762,10.3129,0.375,0.375,1
258,-209.757,10.3177,0.375,0.375,1
259,-210.768,10.3369,0.375,0.375,1
260,-211.773,10.3451,0.5,0.5,1
261,-212.805,10.3611,0.5,0.5,1
262,-213.849,10.376,0.5,0.5,1
263,-214.902,10.3965,0.5,0.5,1
264,-215.93,10.3964,0.625,0.625,1
265,-216.93,10.3753,0.625,0.625,1
266,-217.956,10.3629,0.5,0.5,1
267,-219.013,10.3606,0.625,0.625,1
268,-220.058,10.3451,0.625,0.625,1
269,-221.105,10.3209,0.75,0.75,1
270,-222.155,10.2984,0.625,0.625,1
271,-223.216,10.2887,0.75,0.75,1
272,-224.284,10.2629,0.625,0.625,1
273,-225.365,10.2468,0.75,0.75,1
274,-226.472,10.2264,0.75,0.75,1
275,-227.585,10.2092,0.75,0.75,1
276,-228.707,10.2155,0.75,0.75,1
277,-229.833,10.2195,0.75,0.75,1
278,-230.968,10.2216,0.75,0.75,1
279,-232.112,10.221,0.875,0.875,1
280,-233.259,10.217,0.75,0.75,1
281,-234.408,10.2165,0.875,0.875,1
282,-235.564,10.2149,0.875,0.875,1
283,-236.735,10.2194,0.875,0.875,1
284,-237.913,10.2198,0.875,0.875,1
285,-239.104,10.2177,0.875,0.875,1
286,-240.296,10.2064,0.875,0.875,1
287,-241.495,10.1969,1,1,1
288,-242.703,10.1834,0.875,0.875,1
289,-243.912,10.1696,0.875,0.875,1
290,-245.125,10.1537,0.875,0.875,1
291,-246.347,10.1302,1,1,1
292,-247.572,10.1042,1,1,1
293,-248.81,10.0706,0.875,0.875,1
294,-250.053,10.0368,0.875,0.875,1
295,-251.299,9.99556,0.875,0.875,1
296,-252.538,9.9394,1,1,1
297,-253.774,9.88052,1,1,1
298,-255.028,9.82238,1,1,1
299,-256.286,9.77283,0.875,0.875,1
300,-257.535,9.71899,0.875,0.875,1
301,-258.781,9.66964,0.875,0.875,1
302,-260.038,9.62888,0.875,0.875,1
303,-261.3,9.59151,1,1,1
304,-262.557,9.54702,1,1,1
305,-263.811,9.50311,1,1,1
306,-265.059,9.45955,0.875,0.875,1
307,-266.32,9.42187,0.875,0.875,1
308,-267.574,9.37998,0.875,0.875,1
309,-268.827,9.3377,0.875,0.875,1
310,-270.066,9.29032,1,1,1
311,-271.304,9.24124,1,1,1
312,-272.55,9.17626,1,1,1
313,-273.799,9.10379,1,1,1
314,-275.036,9.03667,1,1,1
315,-276.264,8.9761,1,1,1
316,-277.484,8.91969,0.875,0.875,1
317,-278.711,8.87282,0.875,0.875,1
318,-279.947,8.83282,0.375,0.375,1
319,-281.18,8.78975,1,1,1
