i,x,z,recall_naive,recall_naive_sc,recall_rerank
230,186.487,147.542,1,0.375,1
231,187.376,148.232,1,0.375,0.875
232,188.263,148.923,1,0.375,1
233,189.147,149.611,1,0.375,1
234,190.026,150.296,1,0.25,1
235,190.904,150.982,1,0.375,1
236,191.781,151.668,1,0.25,1
237,192.657,152.354,1,0.375,1
238,193.533,153.041,1,0.25,1
239,194.408,153.727,1,0.25,1
240,195.29,154.417,1,0.375,1
241,196.174,155.111,1,0.375,1
242,197.057,155.806,1,0.375,1
243,197.936,156.501,1,0.375,1
244,198.811,157.193,1,0.375,1
245,199.682,157.886,1,0.375,1
246,200.553,158.58,1,0.5,1
247,201.421,159.275,1,0.5,1
248,202.288,159.973,1,0.5,1
249,203.155,160.673,1,0.5,1
250,204.019,161.372,1,0.5,1
251,204.883,162.075,1,0.625,1
252,205.748,162.779,1,0.625,1
253,206.611,163.481,1,0.5,1
254,207.471,164.183,1,0.5,1
255,208.324,164.877,1,0.5,1
256,209.176,165.571,1,0.5,1
257,210.025,166.259,1,0.5,1
258,210.875,166.947,1,0.5,1
259,211.722,167.631,1,0.5,1
260,212.57,168.314,1,0.5,1
261,213.417,168.995,1,0.5,1
262,214.267,169.676,1,0.5,1
263,215.114,170.353,1,0.5,1
264,215.964,171.031,1,0.5,1
265,216.813,171.707,1,0.5,1
266,217.656,172.377,1,0.5,1
267,218.497,173.044,1,0.5,1
268,219.338,173.712,1,0.5,1
269,220.179,174.378,1,0.5,1
270,221.017,175.042,1,0.5,1
271,221.854,175.706,1,0.5,1
272,222.688,176.367,1,0.5,1
273,223.523,177.028,1,0.5,1
274,224.357,177.689,1,0.5,1
275,225.194,178.352,1,0.5,1
276,226.032,179.014,1,0.5,1
277,226.869,179.675,1,0.5,1
278,227.707,180.337,1,0.5,1
279,228.546,180.999,1,0.5,1
280,229.386,181.661,1,0.5,1
281,230.227,182.324,1,0.5,1
282,231.069,182.987,1,0.5,1
283,231.913,183.65,1,0.5,1
284,232.761,184.317,1,0.5,1
285,233.61,184.984,1,0.5,1
286,234.459,185.652,1,0.5,1
287,235.311,186.321,1,0.5,1
288,236.162,186.99,1,0.5,1
289,237.013,187.659,1,0.5,1
290,237.867,188.329,1,0.5,1
291,238.723,189.002,1,0.5,1
292,239.582,189.676,1,0.5,1
293,240.443,190.351,1,0.5,1
294,241.306,191.03,1,0.5,1
295,242.176,191.713,1,0.375,1
296,243.046,192.397,1,0.375,1
297,243.917,193.083,1,0.375,1
298,244.789,193.77,1,0.375,1
299,245.662,194.459,1,0.375,1
300,246.538,195.15,1,0.375,1
301,247.419,195.846,1,0.375,1
302,248.204,196.466,1,0.375,1
303,248.991,197.088,1,0.375,1
304,249.78,197.713,1,0.375,1
305,250.572,198.339,1,0.375,1
306,251.369,198.972,1,0.375,1
307,252.171,199.607,1,0.375,1
308,252.975,200.244,1,0.25,1
309,253.781,200.882,1,0.25,1
310,254.585,201.52,1,0.125,1
311,255.389,202.157,1,0.125,1
312,256.196,202.798,1,0,1
313,257.005,203.439,1,0,1
314,257.816,204.082,1,0,1
315,258.63,204.728,1,0,1
316,259.447,205.375,1,0,1
317,260.266,206.023,1,0,1
318,261.095,206.679,1,0,1
319,261.927,207.337,1,0,1
320,262.763,207.998,1,0,1
321,263.6,208.66,1,0,1
322,264.438,209.323,1,0,1
323,265.269,209.981,1,0,1
324,266.105,210.642,1,0,1
325,266.942,211.305,1,0,1
326,267.781,211.97,1,0,1
327,268.624,212.637,1,0,1
328,269.468,213.307,1,0,1
329,270.315,213.978,1,0,1
330,271.17,214.658,1,0,1
331,272.032,215.341,1,0,1
332,272.896,216.027,1,0,1
333,273.762,216.714,1,0,1
334,274.628,217.4,1,0,1
335,275.488,218.083,1,0,1
336,276.35,218.767,1,0,1
337,277.213,219.452,1,0,1
338,278.079,220.14,1,0,1
339,278.947,220.83,1,0,1
340,279.819,221.523,1,0,1
341,280.692,222.216,1,0,1
342,281.575,222.917,1,0,1
343,282.464,223.621,1,0,1
344,283.356,224.329,1,0,1
345,284.25,225.038,1,0,1
346,285.034,225.659,1,0,1
347,285.921,226.364,1,0,1
348,286.808,227.067,1,0,1
349,287.696,227.771,1,0,1
350,288.587,228.477,1,0,1
351,289.48,229.184,1,0,1
352,290.375,229.892,1,0,1
353,291.16,230.513,1,0,1
354,291.953,231.14,1,0,1
355,292.754,231.773,1,0,1
356,293.558,232.408,1,0,1
357,294.363,233.044,1,0,1
358,295.17,233.68,1,0,1
359,295.979,234.318,1,0,1
360,296.782,234.951,1,0,1
361,297.581,235.58,1,0,1
362,298.38,236.209,1,0,1
363,299.181,236.839,1,0,1
364,299.984,237.471,1,0,1
365,300.787,238.103,1,0,1
366,301.592,238.736,1,0,1
367,302.398,239.369,1,0,1
368,303.214,240.01,1,0,1
369,304.039,240.658,1,0,1
370,304.865,241.307,1,0,1
371,305.69,241.956,1,0,1
372,306.519,242.608,1,0,1
373,307.347,243.259,1,0,1
