i,x,z,recall_naive,recall_naive_sc,recall_rerank
315,-187.402,263.103,1,0.125,1
316,-186.737,263.878,1,0.125,1
317,-186.008,264.574,1,0.125,1
318,-185.205,265.238,1,0.125,1
319,-184.394,265.848,1,0.125,1
320,-183.557,266.439,1,0.125,1
321,-182.691,267.025,1,0.125,1
322,-181.838,267.584,1,0.125,1
323,-180.954,268.153,1,0.125,1
324,-180.084,268.703,1,0.125,1
325,-179.2,269.255,1,0.125,1
326,-178.35,269.782,1,0.125,1
327,-177.481,270.323,1,0.125,1
328,-176.601,270.874,1,0.125,1
329,-175.707,271.438,1,0.125,1
330,-174.854,271.979,1,0.125,1
331,-173.986,272.529,1,0.125,1
332,-173.102,273.089,1,0.125,1
333,-172.204,273.657,1,0.125,1
334,-171.354,274.195,1,0.125,1
335,-170.491,274.741,1,0.125,1
336,-169.616,275.295,1,0.125,1
337,-168.727,275.856,1,0,1
338,-167.825,276.425,1,0,1
339,-166.977,276.959,1,0,1
340,-166.118,277.498,1,0,1
341,-165.249,278.043,1,0,1
342,-164.367,278.596,1,0,1
343,-163.475,279.153,1,0,1
344,-162.576,279.715,1,0,1
345,-161.665,280.283,1,0,1
346,-160.745,280.856,1,0,1
347,-159.887,281.389,1,0,1
348,-159.022,281.927,1,0,1
349,-158.151,282.469,1,0,1
350,-157.271,283.019,1,0,1
351,-156.383,283.575,1,0,1
352,-155.489,284.137,1,0,1
353,-154.588,284.704,1,0,1
354,-153.681,285.276,1,0,1
355,-152.768,285.851,1,0,1
356,-151.848,286.431,1,0,1
357,-150.999,286.966,1,0,1
358,-150.146,287.503,1,0,1
359,-149.288,288.044,1,0,1
360,-148.424,288.587,1,0,1
361,-147.566,289.128,1,0,1
362,-146.707,289.669,1,0,1
363,-145.856,290.205,1,0,1
364,-145.008,290.741,1,0,1
365,-144.16,291.277,1,0,1
366,-143.239,291.86,1,0,1
367,-142.327,292.438,1,0,1
368,-141.414,293.016,1,0,1
369,-140.505,293.592,1,0,1
370,-139.598,294.167,1,0,1
371,-138.695,294.738,1,0,1
372,-137.797,295.306,1,0,1
373,-136.902,295.873,1,0,1
374,-136.013,296.434,1,0,1
375,-135.138,296.987,1,0,1
376,-134.276,297.532,1,0,1
377,-133.428,298.068,1,0,1
378,-132.527,298.637,1,0,1
379,-131.643,299.195,1,0,1
380,-130.769,299.747,1,0,1
381,-129.913,300.286,1,0,1
382,-129.019,300.847,1,0,1
383,-128.128,301.406,1,0.125,1
384,-127.24,301.963,1,0.125,1
385,-126.361,302.515,1,0.125,1
386,-125.49,303.063,1,0.125,1
387,-124.628,303.609,1,0.125,1
388,-123.768,304.155,1,0.125,1
389,-122.908,304.703,1,0.125,1
390,-122.063,305.242,1,0,1
391,-121.18,305.807,1,0,1
392,-120.28,306.385,1,0.125,1
393,-119.425,306.936,1,0.125,1
394,-118.574,307.482,1,0.125,1
395,-117.731,308.023,1,0,1
396,-116.875,308.572,1,0,1
397,-116.016,309.124,1,0,1
398,-115.16,309.675,1,0,1
399,-114.304,310.224,1,0,1
400,-113.444,310.776,1,0,1
401,-112.577,311.333,1,0,1
402,-111.71,311.889,1,0,1
403,-110.843,312.446,1,0,1
404,-109.977,313.002,1,0,1
405,-109.113,313.557,1,0,1
406,-108.255,314.107,1,0,1
407,-107.402,314.655,1,0,1
408,-106.554,315.197,1,0,1
409,-105.711,315.737,1,0,1
410,-104.812,316.312,1,0,1
411,-103.918,316.884,1,0,1
412,-103.031,317.452,1,0,1
413,-102.149,318.016,1,0,1
414,-101.272,318.576,1,0,1
415,-100.398,319.133,1,0,1
416,-99.5298,319.686,1,0,1
417,-98.6621,320.236,1,0,1
418,-97.7648,320.803,1,0,1
419,-96.8814,321.36,1,0,1
420,-96.0361,321.894,1,0,1
421,-95.1765,322.435,1,0,1
422,-94.2817,322.996,1,0,1
423,-93.3901,323.552,1,0,1
424,-92.4864,324.115,1,0,1
425,-91.5907,324.67,1,0,1
426,-90.7096,325.216,1,0,1
427,-89.8353,325.759,1,0,1
428,-88.9652,326.299,1,0,1
429,-88.1025,326.835,1,0,1
430,-87.2046,327.392,1,0,1
431,-86.332,327.934,1,0,1
432,-85.4442,328.484,1,0,1
433,-84.5518,329.038,1,0,1
434,-83.664,329.588,1,0,1
435,-82.7901,330.129,1,0,1
436,-81.9151,330.671,1,0,1
437,-81.0433,331.212,1,0,1
438,-80.1818,331.747,1,0,1
439,-79.3036,332.291,1,0,1
440,-78.443,332.825,1,0,1
441,-77.5929,333.354,1,0,1
442,-76.7215,333.896,1,0,1
443,-75.8666,334.428,1,0,1
444,-75.0028,334.967,1,0,1
445,-74.1534,335.499,1,0,1
446,-73.299,336.035,1,0,1
447,-72.4332,336.58,1,0,1
448,-71.5844,337.115,1,0,1
449,-70.7393,337.651,1,0,1
450,-69.8954,338.193,1,0,1
451,-69.0434,338.74,1,0,1
452,-68.1961,339.28,1,0,1
453,-67.3372,339.814,1,0,1
454,-66.4619,340.326,1,0,1
455,-65.5546,340.805,1,0,1
456,-64.6177,341.241,1,0,1
457,-63.6614,341.619,1,0,1
458,-62.6984,341.93,1,0,1
459,-61.697,342.185,1,0,1
460,-60.6798,342.38,1,0,1
461,-59.6547,342.513,1,0,1
462,-58.6348,342.581,1,0,1
463,-57.6178,342.592,1,0,1
464,-56.5731,342.546,1,0,1
465,-55.5385,342.444,1,0,1
466,-54.5178,342.292,1,0,1
467,-53.5282,342.102,1,0,1
468,-52.5149,341.865,1,0,1
469,-51.5285,341.598,1,0,1
470,-50.53,341.29,1,0,1
471,-49.5644,340.956,1,0,1
472,-48.5815,340.581,1,0,1
473,-47.6421,340.19,1,0,1
474,-46.6949,339.763,1,0,1
475,-45.7933,339.328,1,0,1
476,-44.8795,338.858,1,0,1
477,-43.9642,338.358,1,0,1
478,-43.0449,337.823,1,0,1
479,-42.184,337.294,1,0,1
480,-41.332,336.743,1,0,1
481,-40.4899,336.168,1,0,1
482,-39.6558,335.568,1,0,1
483,-38.8302,334.948,1,0,1
