i,x,z,recall_naive,recall_naive_sc,recall_rerank
410,6.8779,392.024,1,0,1
411,6.9321,393.042,1,0,1
412,7.0125,394.072,1,0,1
413,7.1284,395.107,1,0,1
414,7.2869,396.142,1,0,1
415,7.4854,397.128,1,0,1
416,7.737,398.1,1,0,1
417,8.0545,399.069,1,0,1
418,8.4346,400.002,1,0,1
419,8.8914,400.922,1,0,1
420,9.4154,401.793,1,0,1
421,10.0023,402.603,1,0,1
422,10.6571,403.366,1,0,1
423,11.3715,404.083,1,0,1
424,12.1435,404.751,1,0.125,1
425,12.9626,405.367,1,0.125,1
426,13.7966,405.919,1,0,1
427,14.677,406.434,1,0,1
428,15.5982,406.909,1,0,1
429,16.5207,407.332,1,0,1
430,17.484,407.728,1,0,1
431,18.4357,408.076,1,0,1
432,19.4219,408.397,1,0,1
433,20.3939,408.675,1,0,1
434,21.4065,408.925,1,0,1
435,22.3967,409.132,1,0,1
436,23.4251,409.306,1,0,1
437,24.4251,409.439,1,0,1
438,25.4512,409.541,1,0,1
439,26.5033,409.617,1,0,1
440,27.5242,409.666,1,0,1
441,28.5652,409.695,1,0,1
442,29.6286,409.702,1,0,1
443,30.6471,409.692,1,0,1
444,31.686,409.665,1,0,1
445,32.7432,409.626,1,0,1
446,33.7532,409.579,1,0,1
447,34.7786,409.522,1,0,1
448,35.8192,409.454,1,0,1
449,36.8758,409.38,1,0,1
450,37.9496,409.303,1,0,1
451,38.9656,409.232,1,0,1
452,39.992,409.16,1,0,1
453,41.0345,409.089,1,0,1
454,42.0914,409.017,1,0,1
455,43.1691,408.945,1,0,1
456,44.1747,408.879,1,0,1
457,45.1922,408.811,1,0,1
458,46.2243,408.744,1,0,1
459,47.2694,408.676,1,0,1
460,48.3263,408.608,1,0,1
461,49.3944,408.54,1,0,1
462,50.4796,408.471,1,0,1
463,51.4816,408.408,1,0,1
464,52.492,408.342,1,0,1
465,53.5113,408.275,1,0,1
466,54.5451,408.206,1,0,1
467,55.5846,408.137,1,0,1
468,56.6308,408.066,1,0,1
469,57.6791,407.994,1,0,1
470,58.7275,407.921,1,0,1
471,59.7739,407.848,1,0,1
472,60.8217,407.774,1,0,1
473,61.8694,407.699,1,0,1
474,62.9247,407.626,1,0,1
475,63.9834,407.553,1,0,1
476,65.0481,407.482,1,0,1
477,66.1168,407.412,1,0,1
478,67.187,407.342,1,0,1
479,68.2618,407.273,1,0,1
480,69.3443,407.204,1,0,1
481,70.4322,407.135,1,0,1
482,71.5213,407.066,1,0,1
483,72.5197,407.004,1,0,1
484,73.5222,406.942,1,0,1
485,74.5316,406.881,1,0,1
486,75.5449,406.82,1,0,1
487,76.5636,406.759,1,0,1
488,77.5883,406.698,1,0,1
489,78.6195,406.637,1,0,1
490,79.6517,406.576,1,0,1
491,80.6907,406.512,1,0,1
492,81.7352,406.447,1,0,1
493,82.785,406.381,1,0,1
494,83.8404,406.314,1,0,1
495,84.9006,406.246,1,0,1
496,85.9652,406.177,1,0,1
497,87.0347,406.106,1,0,1
498,88.1111,406.035,1,0,1
499,89.1918,405.961,1,0,1
500,90.2786,405.886,1,0,1
501,91.3674,405.806,1,0,1
502,92.4631,405.725,1,0,1
503,93.5644,405.641,1,0,1
504,94.6689,405.554,1,0,1
505,95.6696,405.474,1,0,1
506,96.6724,405.392,1,0,1
507,97.6799,405.307,1,0,1
508,98.6911,405.219,1,0,1
509,99.7081,405.128,1,0,1
510,100.727,405.035,1,0,1
