source,leaf_max_size,k,threads,n_points,build_s,query_us
kitti,25,5,1,121148,0.0093277,0.8107
kitti,25,20,1,121148,0.0091588,1.68345
kitti,10,1,1,120359,0.0109553,0.5949
kitti,10,5,1,120359,0.0109118,0.93485
kitti,10,20,1,120359,0.010901,1.9031
kitti,25,1,1,120359,0.0089493,0.519
kitti,25,5,1,120359,0.0090117,0.83175
kitti,25,20,1,120359,0.0089974,1.6958
kitti,10,1,1,119454,0.0108072,0.60425
kitti,10,5,1,119454,0.0107702,0.9409
kitti,10,20,1,119454,0.0107951,1.90075
kitti,25,1,1,119454,0.0089618,0.55785
kitti,25,5,1,119454,0.0089262,0.8824
kitti,25,20,1,119454,0.008991,1.8242
kitti,10,1,1,118399,0.0105583,0.6511
kitti,10,5,1,118399,0.0106315,1.0042
kitti,10,20,1,118399,0.0104966,2.2677
kitti,25,1,1,118399,0.0088314,0.5989
kitti,25,5,1,118399,0.0089437,1.05695
kitti,25,20,1,118399,0.0089198,1.91795
kitti,10,1,1,116881,0.0105299,0.66875
kitti,10,5,1,116881,0.0106461,0.967
kitti,10,20,1,116881,0.0107032,2.0274
kitti,25,1,1,116881,0.0086203,0.6085
kitti,25,5,1,116881,0.0086483,0.9011
kitti,25,20,1,116881,0.0087477,1.88175
kitti,10,1,1,114496,0.0105371,0.60015
kitti,10,5,1,114496,0.0105861,0.9971
kitti,10,20,1,114496,0.0104257,2.06245
kitti,25,1,1,114496,0.008946,0.5434
kitti,25,5,1,114496,0.0086364,0.9477
kitti,25,20,1,114496,0.0089255,1.83545
kitti,10,1,1,113139,0.0103984,0.56805
kitti,10,5,1,113139,0.0103044,0.89195
kitti,10,20,1,113139,0.0103248,1.8779
kitti,25,1,1,113139,0.008701,0.64465
kitti,25,5,1,113139,0.0087185,0.8272
kitti,25,20,1,113139,0.0086986,1.7347
kitti,10,1,1,113810,0.0104673,0.6343
kitti,10,5,1,113810,0.0106249,0.84875
kitti,10,20,1,113810,0.0103436,1.91815
kitti,25,1,1,113810,0.0085346,0.51145
kitti,25,5,1,113810,0.0085174,0.8269
kitti,25,20,1,113810,0.0087976,1.82015
kitti,10,1,1,115974,0.0108528,0.5951
kitti,10,5,1,115974,0.0108428,0.9049
kitti,10,20,1,115974,0.0107878,2.2586
kitti,25,1,1,115974,0.0088389,0.68685
kitti,25,5,1,115974,0.0087467,0.9052
kitti,25,20,1,115974,0.0091516,1.7354
kitti,10,1,1,117156,0.0110236,0.57355
kitti,10,5,1,117156,0.0107669,0.99835
kitti,10,20,1,117156,0.0107888,1.91695
kitti,25,1,1,117156,0.0089253,0.5674
kitti,25,5,1,117156,0.0090459,0.89045
kitti,25,20,1,117156,0.0089498,1.73995
kitti,10,1,1,118636,0.0108555,0.63435
kitti,10,5,1,118636,0.0107542,0.8427
kitti,10,20,1,118636,0.0113608,1.89735
kitti,25,1,1,118636,0.0093887,0.5456
kitti,25,5,1,118636,0.0090285,0.84545
kitti,25,20,1,118636,0.0092179,1.6982
random_10000,10,1,1,10000,0.0010638,0.31295
random_10000,10,5,1,10000,0.0009832,0.71145
random_10000,10,20,1,10000,0.0009667,1.8145
random_10000,25,1,1,10000,0.0007546,0.2916
random_10000,25,5,1,10000,0.0007889,0.6553
random_10000,25,20,1,10000,0.0007624,1.81605
random_10000,10,1,1,10000,0.0010213,0.3547
random_10000,10,5,1,10000,0.0010039,0.6736
random_10000,10,20,1,10000,0.0009449,1.8068
random_10000,25,1,1,10000,0.0007601,0.2839
random_10000,25,5,1,10000,0.0007538,0.64975
random_10000,25,20,1,10000,0.0007605,1.64485
random_10000,10,1,1,10000,0.0009273,0.2981
random_10000,10,5,1,10000,0.0009271,0.6807
random_10000,10,20,1,10000,0.0009254,1.8109
random_10000,25,1,1,10000,0.0007569,0.29885
random_10000,25,5,1,10000,0.0007535,0.65385
random_10000,25,20,1,10000,0.0007528,1.67235
random_10000,10,1,1,10000,0.0009344,0.2985
random_10000,10,5,1,10000,0.0009786,0.7312
random_10000,10,20,1,10000,0.0009929,1.8531
random_10000,25,1,1,10000,0.0007605,0.28625
random_10000,25,5,1,10000,0.000764,0.64565
random_10000,25,20,1,10000,0.0007647,1.71895
random_10000,10,1,1,10000,0.0009288,0.287
random_10000,10,5,1,10000,0.0010448,0.6961
random_10000,10,20,1,10000,0.0009275,1.81205
random_10000,25,1,1,10000,0.0007623,0.2821
random_10000,25,5,1,10000,0.0007636,0.64285
random_10000,25,20,1,10000,0.0007586,1.6568
random_10000,10,1,1,10000,0.000924,0.29735
random_10000,10,5,1,10000,0.0009383,0.68265
random_10000,10,20,1,10000,0.0009186,1.8232
random_10000,25,1,1,10000,0.0007588,0.29285
random_10000,25,5,1,10000,0.0007596,0.6558
random_10000,25,20,1,10000,0.0007569,1.6726
random_10000,10,1,1,10000,0.0009236,0.29175
random_10000,10,5,1,10000,0.0009272,0.6676
random_10000,10,20,1,10000,0.000925,1.8142
random_10000,25,1,1,10000,0.0007586,0.28405
random_10000,25,5,1,10000,0.0007574,0.64115
random_10000,25,20,1,10000,0.0007578,1.6464
