source,leaf_max_size,k,threads,n_points,build_s,query_us
kitti,10,20,1,123932,0.0100038,1.8851
kitti,25,1,1,123932,0.0085811,0.5911
kitti,25,5,1,123932,0.0084699,0.8483
kitti,25,20,1,123932,0.0083277,1.68785
kitti,10,1,1,123826,0.0101382,0.57725
kitti,10,5,1,123826,0.0103986,0.9416
kitti,10,20,1,123826,0.0103777,1.81785
kitti,25,1,1,123826,0.0085207,0.5201
kitti,25,5,1,123826,0.0085054,0.89305
kitti,25,20,1,123826,0.0086601,1.67525
kitti,10,1,1,123502,0.011014,0.79815
kitti,10,5,1,123502,0.0104478,1.2454
kitti,10,20,1,123502,0.0105376,1.8932
kitti,25,1,1,123502,0.0083764,0.54095
kitti,25,5,1,123502,0.0084275,0.8905
kitti,25,20,1,123502,0.0082214,1.5933
kitti,10,1,1,123006,0.0100133,0.6713
kitti,10,5,1,123006,0.0097794,0.8978
kitti,10,20,1,123006,0.010033,1.7891
kitti,25,1,1,123006,0.0081061,0.4955
kitti,25,5,1,123006,0.0082487,0.7692
kitti,25,20,1,123006,0.0082001,1.592
kitti,10,1,1,122749,0.0099025,0.6332
kitti,10,5,1,122749,0.0100271,0.87645
kitti,10,20,1,122749,0.010247,1.7758
kitti,25,1,1,122749,0.008238,0.53555
kitti,25,5,1,122749,0.0085504,0.825
kitti,25,20,1,122749,0.0081657,1.61425
kitti,10,1,1,122379,0.0099717,0.5448
kitti,10,5,1,122379,0.0099143,0.86635
kitti,10,20,1,122379,0.0101214,1.7585
kitti,25,1,1,122379,0.0082555,0.48925
kitti,25,5,1,122379,0.0082959,0.82735
kitti,25,20,1,122379,0.0084943,1.7153
kitti,10,1,1,121738,0.0101496,0.5817
kitti,10,5,1,121738,0.0102159,0.89915
kitti,10,20,1,121738,0.0099733,1.8568
kitti,25,1,1,121738,0.0083273,0.52645
kitti,25,5,1,121738,0.0085389,0.8205
kitti,25,20,1,121738,0.0090743,1.9198
kitti,10,1,1,121497,0.0103677,1.3583
kitti,10,5,1,121497,0.0133961,0.89075
kitti,10,20,1,121497,0.0105327,1.80315
kitti,25,1,1,121497,0.0083384,0.6242
