method,frame,update_ms,query_ms,live,phys,rss_kb_end,rss_kb_peak
forest,137,55.3005,2.3666,7261898,16723101,2195800,2195864
forest,138,3999.0734,1.9779,7276915,16840698,2195800,2195864
forest,139,51.9851,1.7561,7284980,16959607,2195800,2195864
forest,140,66.2231,1.7794,7288869,17079400,2195800,2195864
forest,141,49.4939,2.1530,7290466,17200381,2195800,2195864
forest,142,96.9669,1.7366,7293356,17321878,2195800,2195864
forest,143,47.5894,1.7961,7297634,17443694,2195800,2195864
forest,144,62.6612,1.5687,7300555,17565123,2195800,2195864
forest,145,48.1122,3.4703,7302934,17686376,2195800,2195864
forest,146,60.6432,2.9280,7307958,17807323,2195800,2195864
forest,147,198.2445,1.8798,7314689,17928078,2195800,2195864
forest,148,57.4965,2.4621,7326350,18049141,2195800,2195864
forest,149,71.2971,1.7888,7341039,18170991,2195800,2195864
forest,150,54.3511,1.9157,7354851,18293217,2195800,2195864
forest,151,100.0462,2.5055,7365750,18415200,2195800,2195864
forest,152,54.3777,2.4637,7374827,18537598,2195800,2195864
forest,153,68.2678,2.3225,7383521,18660431,2195800,2195864
forest,154,52.5840,2.5617,7391719,18783916,2195800,2195864
forest,155,344.0660,1.3881,7397842,18908418,2195800,2195864
forest,156,52.2265,2.1078,7401117,19033805,2195800,2195864
forest,157,66.8286,1.9388,7402035,19159716,2195800,2195864
forest,158,52.0619,1.8044,7399541,19285765,2195800,2195864
forest,159,100.2584,1.6838,7392689,19411952,2195800,2195864
forest,160,304.2861,1.5221,7383314,19538240,2195800,2195864
forest,161,65.0298,1.7282,7375912,19664413,2195800,2195864
forest,162,47.1600,2.7418,7365982,19790580,2195800,2195864
forest,163,58.5180,2.6172,7355134,19916667,2195800,2195864
forest,164,185.0655,2.2213,7344880,20042546,2195800,2195864
forest,165,57.7628,2.5849,7339242,20167969,2195800,2195864
forest,166,72.3901,2.0616,7337321,20292956,2195800,2195864
forest,167,56.4385,1.9897,7334475,20416582,2195800,2195864
forest,168,106.7629,2.2403,7327667,20539114,2195800,2195864
forest,169,55.4357,1.8789,7321858,20660508,2195800,2195864
forest,170,69.4909,1.9474,7317850,20781182,2195800,2195864
forest,171,51.4121,2.4989,7311457,20900773,2195800,2195864
forest,172,720.5338,1.8186,7303000,21019117,2195800,2195864
forest,173,51.7511,1.3522,7291170,21136110,2195800,2195864
forest,174,65.4954,1.5289,7278076,21252444,2195800,2195864
forest,175,48.3098,1.4277,7261984,21367550,2195800,2195864
forest,176,45.7890,2.0912,7243934,21481471,2195800,2195864
forest,177,104.2894,2.2574,7222468,21593867,2195800,2195864
forest,178,55.2561,2.2039,7200344,21705963,2195800,2195864
forest,179,66.7703,2.0592,7181923,21817915,2195800,2195864
forest,180,51.0486,2.2039,7164611,21929796,2195800,2195864
forest,181,179.3613,1.5867,7152187,22042648,2195800,2195864
forest,182,48.1586,1.6600,7143359,22157325,2195800,2195864
forest,183,44.8676,2.4996,7137486,22273834,2195800,2195864
forest,184,71.2456,2.0591,7133724,22391310,2195800,2195864
forest,185,55.1436,2.3245,7132069,22510124,2195800,2195864
forest,186,98.8943,2.0266,7136611,22629740,2195800,2195864
forest,187,53.5740,2.4436,7141594,22750787,2195800,2195864
forest,188,76.6029,1.8403,7149848,22872606,2195800,2195864
forest,189,60.3294,2.4439,7158101,22995266,2195800,2195864
forest,190,421.8712,1.4822,7172688,23118440,2195800,2195864
forest,191,53.5417,1.8002,7189598,23241600,2195800,2195864
